C1-C6	6	Mouser	80-C0603C104K5R
C7,C8,C9	3	Mouser	80-C0603C105Z8V
C10,C11	2	Mouser	74-293D106X0010A2TE3
I/O		Mouser	
IC1	1	Mouser	579-PIC24F64GA002ISS
IC2	1	Mouser	895-FT232RL
IC3	1	Mouser	757-TC74HC4066AFTELM
ICSP		Mouser	
J1	1	Mouser	154-15320-E
L1	1	Mouser	81-BLM21P331SG
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	Mouser	645-598-8110-107F
R1,R5	2	Mouser	71-CRCW0603-2.0K-E3
R2,R3,R4,R6	4	Mouser	652-CR0603-JW-102GLF
RN1,RN2,RN3	3	Mouser	660-CN1J4KTTD103J
VR1,VR2	2	Mouser	781-SI9183DT-33-E3
VR3	1	Mouser	579-TC1185-5.0VCT713
