References	Quantity	Digikey	Mouser
C1-C6	6	399-5089-1-ND	80-C0603C104K5R
C7,C8,C9	3	399-3216-1-ND	80-C0603C105Z8V
C10,C11	2	718-1118-1-ND	74-293D106X0010A2TE3
I/O	1	A33159-ND	571-5103308-1
IC1	1	PIC24FJ64GA002-I/SS-ND	579-PIC24F64GA002ISS
IC2	1	768-1007-1-ND	895-FT232RL
IC3	1	296-14123-1-ND	595-CD4066BPWR
J1	1	WM3895CT-ND	649-10033526-N3212LF
L1	1	490-5988-1-ND	81-BLM21P331SG
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	350-2038-1-ND	645-598-8110-107F
R1,R5	2	541-2.00KSCT-ND	71-CRCW0603-2.0K-E3
R2,R3,R4,R6	4	541-1.00KSCT-ND	71-CRCW0603-1.0K-E3
RN1,RN2,RN3	3	Y9103CT-ND	660-CN1J4KTTD103J
VR1,VR2	2	MCP1801T-3302I/OTCT-ND	579-MCP1801T-3302IOT
VR3	1	MCP1801T-5002I/OTDKR-ND	579-MCP1801T-5002IOT
